year_launched,name,guns,rating,notes
1665,Mars,50,Fourth,a prize.  Mars.  captured from the Dutch.  sold 1667.
1665,Delfe,48,Fourth,a prize.  Delft.  captured from the Dutch.  sold 1668.
1665,St Paul,48,Fourth,a prize.  Sint Paulus.  captured from the Dutch.  burned in action 1666.
1665,Hope,44,Fourth,a prize.  Hoop.  captured from the Dutch.  wrecked 1666.
1665,Black Spread Eagle,44,Fourth,a prize.  Groningen.  captured from the Dutch.  sunk in action 1666.
1665,Golden Lion,42,Fourth,a prize.  Gouden Leeuw.  captured from the Dutch.  given to Guinea Company 1668.
1665,Zealand,42,Fourth,a prize.  Zeelandia.  captured from the Dutch.  sold 1667.
1665,Unity,42,Fourth,a prize.  Eendracht.  captured from the Dutch.  retaken by them 1667.
1665,Young Prince,38,Fourth,a prize.  Jonge Prins.  captured from the Dutch) - expended as a fireship 1666.
1665,Black Bull,36,Fourth,a prize.  Edam.  captured from the Dutch.  retaken and sunk by them 1666.
1666,St Patrick,48,Fourth,captured by the Dutch 1667.
1666,Greenwich,54,Fourth,rebuilt 1699.
1667,St David,54,Fourth,sunk at Portsmouth 1690.  raised but sold 1713.
1667,Stathouse van Harlem,46,Fourth,a prize.  Raadhuis van Haarlem.  captured from the Dutch.  sunk as a breakwater at Sheerness 1690.
1672,Stavoreen,48,Fourth,a prize captured from the Dutch.  sold 1682.
1673,Arms of Terver,48,Fourth,a prize captured from the Dutch.  sold 1682.
1674,Oxford,54,Fourth,rebuilt 1702.
1675,Woolwich,54,Fourth,rebuilt 1702.
1675,Kingfisher,46,Fourth,a specialised fourth rate designed for a role similar to that of the Q-ships of 1914–18.  rather than for the battle fleet; rebuilt 1699.
1682,Britannia,100,First,28 June 1682.  broken up 1715
1678,Vanguard,90,Second,November.  1678. wrecked in the Great Storm of 1703
1679,Windsor Castle,90,Second,4 March 1679.  wrecked 1693
1679,Sandwich,90,Second,rebuilt 1709–1715; lazarette 1752.  broken up 1770
1679,Duchess,90,Second,renamed Princess Anne 31 December 1701.  renamed Windsor Castle 17 March 1702.  renamed Blenheim 90 (1706) - rebuilt 1708–09; broken up 1763.
1680,Albemarle,90,Second,rebuilt 1701–04; renamed Union 29 December 1709.  broken up 1749
1683,Neptune,90,Second,rebuilt 1708–10
1682,Duke,90,Second,rebuilt 1700–01 and renamed Prince George 31 December 1701; broken up to rebuild 1719
1682,Ossory,90,Second,rebuilt 1708–11 and renamed Princess 2 January 1716.  then Princess Royal 26 July 1728
1685,Coronation,90,Second,wrecked 1691
1678,Anne,70,Third,Burnt 1690
1678,Restoration,70,Third,wrecked in the Great Storm of 1703
1679,Expedition,70,Third,renamed Prince Frederick 1715.  sold 1784
1679,Pendennis,70,Third,wrecked 1689
1679,Northumberland,70,Third,wrecked in the Great Storm of 1703
1679,Essex,70,Third,broken up 1736 for rebuild
1680,Exeter,70,Third,hulked 1691
1680,Suffolk,70,Third,broken up by 1765
1678,Hope,70,Third,captured 1695
1679,Elizabeth,70,Third,rebuilt 1703
1679,Stirling Castle,70,Third,wrecked in the Great Storm of 1703
1679,Breda,70,Third,c. 1679. burnt 1690
1681,Mordaunt,46,Fourth,c. 1681. built privately and purchased 1683. wrecked 1693
1687,Deptford,50,Fourth,broken up 1700 for rebuild
1687,St Albans,50,Fourth,wrecked 1693
1687,Sedgemoor,50,Fourth,wrecked 1689
1692,Devonshire,80,Third,blew up at the Battle at The Lizard.  1707
1692,Boyne,80,Third,broken up by 1763
1693,Sussex,80,Third,wrecked 1694
1695,Cumberland,80,Third,captured by France at the Battle at The Lizard.  1707.  to Genoa 1715.  to Spain 1717 as Principe de Asturias 70.  captured by Britain at the Battle of Cape Passaro.  1718.  to Austria 1720 as San Carlos.  broken up 1733
1697,Ranelagh,80,Third,renamed Princess Caroline 1728
1698,Somerset,80,Third,broken up 1740
1692,Bredah,70,Third,broken up 1730
1693,Ipswich,70,Third,broken up 1727 to rebuild
1695,Yarmouth,70,Third,broken up 1707 and rebuilt 1707–09; hulked 1740.  sold or broken up 1769
1693,Carlisle,60,Fourth,wrecked 1696
1693,Winchester,60,Fourth,sank 1695
1694,Sunderland,60,Fourth,scuttled 1737
1694,Pembroke,60,Fourth,captured 1709
1695,Gloucester,60,Fourth,broken up 1731
1698,Bedford,70,Third,rebuilt 1741
1698,Orford,70,Third,rebuilt 1712
1699,Nassau,70,Third,wrecked 1706
1699,Revenge,70,Third,renamed Buckingham 1711.  hulk 1727.  scuttled as a foundation 1745
1691,Dreadnought,64,Third,reduced to fourth rate 1697.  rebuilt 1706
1697,Association,90,Second,wrecked 1707
1697,Barfleur,90,Second,rebuilt 1716 at 80-gun ship
1697,Namur,90,Second,rebuilt 1729
1698,Triumph,90,Second,renamed Prince 1714.  rebuilt 1750
1698,Hampshire,50,Fourth,broken up 1739
1698,Winchester,50,Fourth,broken up 1716 for rebuild
1698,Salisbury,50,Fourth,captured by France 1703.  recaptured 1708.  renamed Salisbury Prize.  renamed Preston 1716.  broken up 1739 for rebuild
1698,Worcester,50,Fourth,broken up 1713 for rebuild
1698,Dartmouth,42,Fourth,broken up 1714 for rebuild
1698,Jersey,50,Fourth,hulked 1731.  sunk 1763
1698,Carlisle,50,Fourth,blew up 1700
1699,Tilbury,50,Fourth,broken up 1726 for rebuild
1692,Royal William,100,First,ex-Prince.  rebuilt 1719.
1693,Queen,100,First,ex-Royal Charles.  rebuilt 1715.  renamed Royal George
1695,Victory,100,First,ex-Royal James.  burnt 1721 and broken up
1690,Royal Oak,74,Third,rebuilt 1713
1695,Defiance,64,Third,rebuilt 1707
1696,Swiftsure,66,Third,rebuilt 1716 and renamed Revenge
1689,Crown,46,Fourth,rebuilt 1703–04.
1690,Dragon,46,Fourth,rebuilt 1706–07.
1692,Newcastle,52,Fourth,foundered during Great Storm 27 November 1703.
1693,Bristol,50,Fourth,captured 1709
1695,Dover,50,Fourth,rebuilt 1716
1686,Content,70,Unknown,ex-French captured 29 January 1695.  hulk 1703.  sold 1715.
1695,Ruby Prize,48,Unknown,ex-French captured 1695.  sold 1698.
1695,Trident,58,Unknown,ex-French.  captured 29 January 1695.  scuttled as breakwater 1701.
1697,Medway Prize,50,Unknown,ex-French privateer.  captured 30 April 1697 and then purchased for the Navy 20 August 1697.  hulk 1699.  scuttled as a foundation 1712.
1701,Royal Sovereign,100,First,broken up 1768
1703,Royal Anne,100,First,ex-St Andrew.  broken up 1757
1706,London,100,First,enlarged 1721 to 1. 711 tons.  broken up 1747
1715,Royal George,100,First,ex-Queen.  renamed Royal Anne 1756.  broken up 1767
1719,Britannia,100,First,harbour service 1745.  broken up 1749
1719,Royal William,100,First,reduced to 84 guns.  broken up 1813
1705,Northumberland,70,Third,rebuilt 1721
1705,Stirling Castle,70,Third,rebuilt 1723
1705,Resolution,70,Third,ran aground 1707
1707,Nassau,70,Third,rebuilt 1740
1706,Elizabeth,70,Third,rebuilt 1737
1706,Restoration,70,Third,wrecked 1711
1703,Nottingham,60,Fourth,rebuilt 1719
1704,Mary,60,Fourth,rebuilt 1742 and renamed Princess Mary
1706,York,60,Fourth,lengthened 1738.  sunk as a breakwater 1750
1703,Swallow,50,Fourth,rebuilt 1719
1703,Antelope,50,Fourth,rebuilt 1741
1703,Leopard,50,Fourth,rebuilt 1721
1703,Panther,50,Fourth,rebuilt 1716
1704,Newcastle,50,Fourth,rebuilt 1732
1704,Reserve,50,Fourth,renamed Sutherland 1716.  hospital ship 1741.  broken up 1754
1706,Saint Albans,50,Fourth,rebuilt 1737
1707,Colchester,50,Fourth,rebuilt 1721
1701,Prince George,90,Second,ex-Duke.  rebuilt 1723
1701,St George,90,Second,ex-Charles.  rebuilt 1740
1702,Royal Katherine,90,Second,renamed Ramillies 1706.  rebuilt 1749
1704,Union,90,Second,ex-Albemarle.  rebuilt 1726
1704,Devonshire,80,Third,blown up in action 1707
1706,Chichester,80,Third,broken up 1749
1706,Cornwall,80,Third,rebuilt 1726
1698,Resolution,70,Third,foundered 1703
1699,Burford,70,Third,wrecked 1719
1699,Eagle,70,Third,wrecked 1707
1699,Expedition,70,Third,rebuilt 1714 and renamed Prince Frederick
1699,Kent,70,Third,rebuilt 1724
1699,Stirling Castle,70,Third,wrecked 1703
1699,Suffolk,70,Third,rebuilt 1719
1700,Berwick,70,Third,hulked 1715.  broken up 1723
1700,Edgar,70,Third,rebuilt 1709
1700,Essex,70,Third,rebuilt 1713
1700,Grafton,70,Third,captured 1707
1701,Hampton Court,70,Third,captured 1707
1701,Lenox,70,Third,rebuilt 1723
1702,Northumberland,70,Third,wrecked 1703
1702,Restoration,70,Third,wrecked 1703
1704,Elizabeth,70,Third,captured 1704
1700,Monmouth,66,Third,rebuilt 1718
1702,Warspite,66,Third,renamed Edinburgh.  rebuilt 1721
1703,Rupert,66,Third,rebuild of 1666 Rupert to different design.  reduced to fourth rate 1716.  broken up 1736 (then rebuilt again from 1737 to 1740)
1707,Defiance,66,Third,reduced to fourth rate 1716.  hulk 1743.  broken up 1749
1698,Montague,60,Fourth,rebuilt 1716
1702,Monck,60,Fourth,wrecked 1720
1704,Dunkirk,60,Fourth,rebuilt 1734
1705,Plymouth,60,Fourth,foundered 1705
1706,Dreadnought,60,Fourth,enlarged 1722.  hulk 1740.  broken up 1748
1706,Marlborough,90,Second,ex-St Michael.  rebuilt 1732
1709,Blenheim,90,Second,ex-Duchess.  broken up 1763
1710,Neptune,90,Second,rebuilt 1730
1710,Vanguard,90,Second,rebuilt 1739 and renamed Duke
1711,Princess,90,Second,ex-Ossory.  renamed Princess Royal 1728.  broken up 1773
1712,Sandwich,90,Second,broken up 1770
1716,Barfleur,90,Second,hulked 1764.  broken up 1783
1708,Boyne,80,Third,rebuilt 1739
1708,Humber,80,Third,rebuilt 1726 and renamed Princess Amelia
1709,Russell,80,Third,rebuilt 1735
1710,Cumberland,80,Third,broken up 1731 and rebuilt 1739
1710,Devonshire,80,Third,hulk 1740.  sold 1760
1712,Dorsetshire,80,Third,sold 1749
1713,Shrewsbury,80,Third,broken up 1749
1715,Cambridge,80,Third,broken up 1749
1719,Torbay,80,Third,broken up 1749
1717,Newark,80,Third,rebuilt 1747
1708,Resolution,70,Third,wrecked 1711
1708,Captain,70,Third,rebuilt 1722
1709,Grafton,70,Third,rebuilt 1725
1709,Hampton Court,70,Third,rebuilt 1744
1709,Edgar,70,Third,burnt 1711
1709,Yarmouth,70,Third,hulked 1740
1713,Orford,70,Third,rebuilt 1727
1713,Royal Oak,70,Third,rebuilt 1741
1714,Expedition,70,Third,renamed Prince Frederick 1715.  rebuilt 1740
1718,Monmouth,70,Third,rebuilt 1742
1718,Revenge,70,Third,rebuilt 1742
1718,Suffolk,70,Third,rebuilt 1739
1708,Plymouth,60,Fourth,rebuilt 1722
1709,Lion,60,Fourth,rebuilt 1738
1709,Gloucester,60,Fourth,captured 1709
1712,Rippon,60,Fourth,rebuilt 1735
1716,Montague,60,Fourth,broken up 1749
1718,Medway,60,Fourth,hulk 1740.  broken up 1749
1719,Kingston,60,Fourth,rebuilt 1740
1719,Nottingham,60,Fourth,rebuilt 1745
1707,Dragon,50,Fourth,wrecked 1712
1708,Falmouth,50,Fourth,rebuilt 1729
1710,Pembroke,50,Fourth,broken up 1726
1708,Ruby,50,Fourth,renamed Mermaid and reduced to 44-gun fifth rate May 1744.  sold 1748
1708,Chester,50,Fourth,harbour service 1743.  broken up 1749
1708,Romney,50,Fourth,rebuilt 1726
1711,Bonaventure,50,Fourth,renamed Argyll 1715.  rebuilt 1722
1711,Bristol,50,Fourth,broken up 1742.  rebuilt 1746
1711,Warwick,50,Fourth,broken up 1726
1711,Ormonde,50,Fourth,renamed Dragon 1715.  broken up 1733 for rebuild
1713,Assistance,50,Fourth,rebuilt 1725
1711,Gloucester,50,Fourth,rebuilt 1737
1712,Advice,50,Fourth,renamed Milford and reduced to 44-gun fifth rate 1744.  sold 1749
1714,Strafford,50,Fourth,broken up 1733
1714,Worcester,50,Fourth,broken up 1733
1716,Panther,50,Fourth,hulked 1743.  sold 1768
1716,Dartmouth,50,Fourth,rebuilt 1741
1716,Rochester,50,Fourth,renamed Maidstone hospital ship 1744.  broken up 1748
1717,Nonsuch,50,Fourth,hulked 1740.  broken up 1745
1717,Salisbury,50,Fourth,rebuilt 1726
1717,Winchester,50,Fourth,hulked 1744.  broken up 1781
1718,St Albans,50,Fourth,broken up 1734
1717,Guernsey,50,Fourth,rebuilt 1740
1718,Norwich,50,Fourth,renamed Enterprise and reduced to 44-gun fifth rate 1744.  broken up 1771
1719,Deptford,50,Fourth,sold 1725
1722,Tiger,50,Fourth,wrecked 1742
1719,Weymouth,50,Fourth,broken up 1732
1719,Swallow,50,Fourth,broken up 1728
1728,Royal Sovereign,100,First,broken up 1768
1723,Prince George,90,Second,Burnt by accident 1768
1726,Union,90,Second,broken up 1749
1729,Namur,90,Second,reduced to 74 guns 1745.  wrecked 1749
1730,Neptune,90,Second,renamed Torbay and reduced to 74 guns 1750.  sold 1784
1732,Marlborough,90,Second,reduced to 68 guns 1752.  foundered 1762
1722,Lancaster,80,Third,rebuilt 1749
1723,Princess Amelia,80,Third,ex-Humber.  broken up 1752
1726,Cornwall,80,Third,broken up 1761
1728,Norfolk,80,Third,renamed Princess Amelia 1755.  broken up 1757
1731,Somerset,80,Third,broken up 1746
1731,Princess Caroline,80,Third,ex-Ranelagh.  broken up 1764
1735,Russell,80,Third,sunk as a breakwater 1762
1721,Edinburgh,70,Third,ex-Warspite.  rebuilt 1744
1721,Northumberland,70,Third,rebuilt 1743
1722,Burford,70,Third,broken up 1752
1722,Captain,70,Third,hulked 1739.  broken up 1762
1723,Stirling Castle,70,Third,hulked 1739.  broken up 1771
1723,Berwick,70,Third,hulked 1743.  broken up 1763
1723,Lenox,70,Third,sunk as a breakwater 1756
1724,Kent,70,Third,broken up 1744
1725,Grafton,70,Third,broken up 1744
1730,Ipswich,70,Third,hulked 1757.  broken up 1764
1731,Buckingham,70,Third,broken up 1745
1734,Prince of Orange,70,Third,reduced to 60 guns 1748.  sheer hulk 1772.  sold 1810
1722,Canterbury,60,Fourth,rebuilt 1744
1722,Plymouth,60,Fourth,broken up 1764
1724,Sunderland,60,Fourth,rebuilt 1744
1729,Windsor,60,Fourth,rebuilt 1745
1732,Deptford,60,Fourth,reduced to 50 guns 1752.  sold 1767
1732,Swallow,60,Fourth,broken up 1742
1733,Tilbury,60,Fourth,burnt 1742
1733,Warwick,60,Fourth,captured 1756
1733,Pembroke,60,Fourth,wrecked 1749
1734,Dunkirk,60,Fourth,wrecked 1749
1720,Falkland,50,Fourth,rebuilt 1744
1721,Chatham,50,Fourth,sunk as a breakwater 1749
1721,Colchester,50,Fourth,broken up 1742
1721,Leopard,50,Fourth,broken up 1739
1722,Argyll,50,Fourth,sunk as a breakwater 1748
1723,Portland,50,Fourth,broken up 1743
1725,Assistance,50,Fourth,sunk as a breakwater 1745
1726,Romney,50,Fourth,sold 1757
1726,Salisbury,50,Fourth,hulked 1744.  sold 1749
1727,Oxford,50,Fourth,broken up 1758
1729,Falmouth,50,Fourth,broken up 1747
1730,Lichfield,50,Fourth,broken up 1744
1730,Greenwich,50,Fourth,wrecked 1744
1732,Newcastle,50,Fourth,broken up 1746
1732,Centurion,60,Fourth,Used by Anson in his world voyage.  reduced to 50 guns 1744.  broken up 1769
1735,Rippon,60,Fourth,broken up 1751
1737,Victory,100,First,wrecked 1744
1739,Duke,90,Second,broken up 1769
1740,St George,90,Second,broken up 1774
1739,Boyne,80,Third,broken up 1763
1739,Cumberland,80,Third,reduced to 66 guns in 1747.  foundered 1760
1737,Elizabeth,70,Third,broken up 1766
1739,Suffolk,70,Third,broken up 1765
1740,Essex,70,Third,wrecked 1759
1740,Nassau,70,Third,sold 1770
1740,Prince Frederick,70,Third,sold 1784
1741,Bedford,70,Third,hulked 1767.  sold 1787
1741,Royal Oak,70,Third,hulked 1757.  broken up 1763
1742,Stirling Castle,70,Third,lost 1762
1742,Monmouth,70,Third,broken up 1767
1742,Revenge,70,Third,sold 1787
1743,Captain,70,Third,reduced to 64 guns 1760.  storeship 1777.  broken up 1783
1743,Berwick,70,Third,broken up 1760
1735,Strafford,60,Fourth,scuttled as a breakwater 1756
1735,Worcester,60,Fourth,broken up 1765
1736,Weymouth,60,Fourth,wrecked 1745
1736,Augusta,60,Fourth,broken up 1765
1736,Dragon,60,Fourth,scuttled as breakwater 1757
1736,Jersey,60,Fourth,hospital ship1771.  abandoned 1783
1736,Superb,60,Fourth,broken up 1757
1738,Lion,60,Fourth,sold 1765
1740,Kingston,60,Fourth,sold 1762
1740,Rupert,60,Fourth,Rebuild of 1713 Rupert to a different design.  broken up 1769
1742,Dreadnought,60,Fourth,sold 1784
1740,Medway,60,Fourth,broken up 1749
1742,Princess Mary,60,Fourth,Sold1762
1744,Exeter,60,Fourth,broken up 1763
1745,Nottingham,60,Fourth,scuttled as breakwater 1773
1737,Gloucester,50,Fourth,damaged in storm and burnt to avoid capture 1742
1737,St Albans,50,Fourth,wrecked 1744
1739,Severn,50,Fourth,captured by France 1746
1740,Guernsey,50,Fourth,hulk 1769.  sold 1786
1741,Hampshire,50,Fourth,broken up 1766
1741,Leopard,50,Fourth,broken up 1761
1741,Nonsuch,50,Fourth,broken up 1766
1741,Sutherland,50,Fourth,sold 1770
1742,Antelope,50,Fourth,sold 1783
1741,Dartmouth,50,Fourth,sunk 1747 in action with the Spanish ship of the line Glorioso
1741,Woolwich,50,Fourth,broken up 1747
1742,Preston,50,Fourth,hulk 1748.  broken up 1749
1749,Ramillies,90,Second,wrecked 1760
1750,Prince,90,Second,broken up 1773
1747,Newark,80,Third,broken up 1787
1749,Lancaster,80,Third,completed as a ship of 66 guns. broken up 1773.
1745,Devonshire,80,Third,cut down and reduced to a 74-gun ship 1747.  then immediately reduced further to a 66-gun ship. Broken up 1772 [1]
1747,Culloden,80,Third,re-ordered and completed as a ship of 74 guns. sold 1770.
-,Somerset,80,Third,re-ordered as a ship of 66 guns.  but cancelled 1748.
1743,Northumberland,66,Third,captured 1774
1744,Edinburgh,66,Third,broken up 1771
1744,Hampton Court,66,Third,broken up 1774
1746,Kent,64,Third,hulked 1760. modified from the 1741 Establishment (lengthened by 6 ft)
1745,Yarmouth,64,Third,reduced to 60 guns in 1781.  broken up 1811
1744,Princess Louisa,58,Fourth,broken up 1766
1744,Defiance,58,Fourth,sold 1766
1744,Canterbury,58,Fourth,harbour service 1761.  broken up 1770
1745,Sunderland,58,Fourth,foundered 1761
1745,Tilbury,58,Fourth,foundered 1757
1745,Eagle,58,Fourth,sold 1767
1745,Windsor,58,Fourth,sold 1777
1743,Chester,50,Fourth,sold 1767
1743,Harwich,50,Fourth,wrecked 1760
1744,Winchester,50,Fourth,sold 1769
1744,Maidstone,50,Fourth,wrecked 1747
1744,Colchester,50,Fourth,wrecked 1744
1744,Portland,50,Fourth,sold 1763
1744,Falkland,50,Fourth,given to victualling depot 1768
1745,Salisbury,50,Fourth,condemned 1761
1745,Advice,50,Fourth,broken up 1756
1745,Gloucester,50,Fourth,broken up 1764
1745,Norwich,50,Fourth,sold 1768
1745,Ruby,50,Fourth,broken up 1765
1746,Colchester,50,Fourth,broken up 1773
1746,Lichfield,50,Fourth,wrecked 1758
1746,Panther,50,Fourth,broken up 1756
1756,Royal George,100,First,foundered 1782
1762,Britannia,100,First,renamed Princess Royal 1810.  St George 1812.  St Barfleur 1819.  broken up 1825
1757,Princess Amelia,80,Third,lent to customs 1788.  sold 1818
1748,Vanguard,70,Third,sold 1774
1748,Somerset,70,Third,wrecked 1778
1749,Orford,70,Third,harbour service 1777.  sunk as a breakwater 1783
1750,Grafton,70,Third,sold 1767
1750,Swiftsure,70,Third,sold 1773
1750,Northumberland,70,Third,renamed Leviathan storeship 1777.  foundered 1779
1751,Buckingham,70,Third,renamed Grampus storeship 1771.  lost 1778
1747,St Albans,60,Fourth,sold 1765
1747,Anson,60,Fourth,sold 1773
1747,Tiger,60,Fourth,hulked 1760.  sold 1765
1752,Weymouth,60,Fourth,broken up 1772
1755,Medway,60,Fourth,receiving ship 1787.  broken up 1811
1753,York,60,Fourth,broken up 1772
1747,Assistance,50,Fourth,sold 1773.
1747,Greenwich,50,Fourth,captured by France 1757.
1747,Tavistock,50,Fourth,hulked 1761.  broken up 1768.
1752,Falmouth,50,Fourth,abandoned aground 1765.
1750,Newcastle,50,Fourth,wrecked 1761.
-,Dartmouth,50,Fourth,cancelled 1748.
1747,Severn,50,Fourth,sold 1759.
-,Woolwich,50,Fourth,cancelled 1748.
1755,Namur,90,Second,reduced to 74 in 1805.  harbour service 1807.  broken up 1833
1756,Union,90,Second,hospital ship 1799.  broken up 1816
1757,Neptune,90,Second,sheer hulk 1799.  broken up 1816
1755,Cambridge,80,Third,harbour service 1793.  broken up 1808
1753,Chichester,70,Third,broken up 1803
1754,Dunkirk,60,Fourth,harbour service 1778.  sold 1792
1757,Achilles,60,Fourth,hulked 1778[2]
1757,America,60,Fourth,broken up 1771[2]
1757,Montague,60,Fourth,sunk as a breakwater 1774
1757,Preston,50,Fourth,sheer hulk 1785.  broken up 1815.
1757,Pembroke,60,Fourth,hulked 1776.  broken up 1793
1758,Rippon,60,Fourth,harbour service 1801.  broken up 1808
1758,Chatham,50,Fourth,harbour service 1793.  renamed Tilbury 1805/10. [3] broken up 1814
1757,Burford,68,Third,sold 1785
1757,Dorsetshire,68,Third,broken up 1775
1766,Boyne,68,Third,broken up 1783
1758,Temple,68,Third,sank 1762
1758,Conqueror,68,Third,wrecked 1760
1740,Princess,70,Third,ex-Spanish Princessa captured 8 April 1740.  hulk 1760.  sold 1784
1745,Vigilant,58,Third,ex-French Le Vigilant captured 19 May 1745.  sold 1759
1746,Mars,64,Third,ex-French Le Mars captured 11 October 1746.  wrecked 1755
1747,Intrepid,64,Third,ex-French Le Sérieux captured 3 May 1747 at First Battle of Cape Finisterre. [4] broken up 1765
1747,Invincible,74,Third,ex-French L'Invincible captured 3 May 1747 at First Battle of Cape Finisterre.  wrecked 1758
1747,Isis,50,Third,ex-French Le Diamant 56 captured 3 May 1747 at First Battle of Cape Finisterre.  sold 1766
1747,Monarch,74,Third,ex-French Le Monarque.  captured 14 October 1747 at Second Battle of Cape Finisterre.  sold 1760
1747,Terrible,74,Third,ex-French Le Terrible.  captured 14 October 1747 at Second Battle of Cape Finisterre.  broken up 1763
1747,Fougueux,64,Third,ex-French Le Fougueux captured 14 October 1747 at Second Battle of Cape Finisterre.  broken up 1759
1747,Trident,64,Third,ex-French Trident captured 14 October 1747 at Second Battle of Cape Finisterre.  sold 1763
1748,Magnanime,74,Third,ex-French Le Magnanime captured 31 January 1748.  broken up 1775
1747,Jason,50,Unknown,c. 1747. ex-French Jason.  captured 3 May 1747 at First Battle of Cape Finisterre.  was added to the Royal Navy as a fifth rate of 44 guns.
1747,Glory,0,Unknown,c. 1747. ex-Spanish Glorioso captured 1747.  was not added to the British Navy.
1765,Victory,100,First,“great repair” 1801–03.  flagship at the Battle of Trafalgar 1805.  1805–08 modernised and re-rated as 98-gun second rate.  hulked at Portsmouth 1824.  dry-docked 1922.  converted during the 1920s to her 1805 appearance.  preserved in commission at Portsmouth as the only remaining ship of the line [5]
1786,Royal Sovereign,100,First,broken up 1841
1788,Royal George,100,First,broken up 1822
1790,Queen Charlotte,100,First,an accidental fire in 1800 destroyed her and killed 673 of her crew of 859[6]
1810,Queen Charlotte,104,First,renamed Excellent 1860.  broken up 1892
1759,Sandwich,90,Second,floating battery 1780.  harbour service 1790.  broken up 1810
1761,Blenheim,90,Second,reduced to 74 in 1800; foundered.  presumably off Madagascar.  with all hands 1807[6]
1761,Ocean,90,Second,Modified version of the Sandwich class.  sold 1793
1766,London,90,Second,broken up 1811
1768,Barfleur,90,Second,broken up 1819 [7]
1772,Prince George,90,Second,broken up 1839
1773,Princess Royal,90,Second,broken up 1807
1769,Queen,90,Second,reduced to 74 in 1811.  broken up 1821
1777,Duke,98,Second,broken up 1843
1785,St George,98,Second,wrecked 1811 off the coast of Jutland with the loss of almost her entire crew[6]
1788,Glory,98,Second,broken up 1825
1782,Atlas,98,Second,broken up 1821
1788,Prince,98,Second,lengthened by 17 ft in 1796.  broken up 1837
1786,Impregnable,98,Second,wrecked 1799.  with no loss of life.  on the Chichester Shoals[6]
1790,Windsor Castle,98,Second,razeed to 74-gun-ship 1814.  broken up 1839
1790,Boyne,98,Second,caught fire by accident and blew up at Spithead 1795[6]
1794,Prince of Wales,98,Second,broken up 1822.
1793,Caesar,80,Third,1814 hulked – used as army depot at Portsmouth.  broken up 1821
1757,Dublin,74,Third,the first British "74". Broken up 1784
1757,Norfolk,74,Third,broken up 1774
1758,Lenox,74,Third,scuttled 1784
1759,Mars,74,Third,sold 1784
1758,Shrewsbury,74,Third,condemned 1783
1758,Warspite,74,Third,broken up 1802
1758,Resolution,74,Third,wrecked 1759
1759,Fame,74,Third,renamed Guilford c. 1799.  sold 1814
1759,Hero,74,Third,broken up 1810
